symbol,language,region,quoteType,quoteSourceName,triggerable,currency,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,trailingAnnualDividendRate,trailingAnnualDividendYield,firstTradeDateMilliseconds,priceHint,epsTrailingTwelveMonths,epsForward,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,marketState,earningsTimestampStart,earningsTimestampEnd,trailingPE,epsCurrentYear,priceEpsCurrentYear,prevName,nameChangeDate,dividendDate,displayName
KUANTUM.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,Kuantum Papers Limited,Kuantum Papers Limited,finmb_40311193,Asia/Kolkata,IST,19800000.0,in_market,False,0.45000076,0.8937453,1608717596.0,50.8,52.15,50.25 - 52.15,50.25,12882.0,50.35,0.0,0.0,,,NSE,INR,50.55,23517.0,43129.0,26.699999,1.1078838,24.1 - 87.9,-37.100002,-0.42207056,24.1,87.9,,0.25,0.0049652434,1571802300000.0,2.0,1.39,,87263600.0,92.484,46.16765,4.632351,0.100337595,46.97784,3.8221588,0.08136089,4296658944.0,,0.54928416,15.0,15.0,False,POSTPOST,,,36.54676,,,,,,
L,en-US,US,EQUITY,Nasdaq Real Time Price,True,USD,NYQ,Loews Corporation,Loews Corporation,finmb_285930,America/New_York,EST,-18000000.0,us_market,False,-0.7200012,-1.644965,1608670801.0,43.05,43.98,43.03 - 43.98,43.03,913188.0,43.77,42.26,44.05,8.0,8.0,NYSE,USD,43.59,904990.0,1506471.0,15.719999,0.5751921,27.33 - 56.88,-13.830002,-0.24314348,27.33,56.88,1604296806.0,0.25,0.0057116747,322151400000.0,2.0,-3.892,2.9,274872992.0,63.162,42.5,0.54999924,0.012941158,37.324387,5.7256126,0.15340139,11833282560.0,14.844827,0.6815807,15.0,0.0,False,PRE,1612791000.0,1613136600.0,,,,,,1607385600.0,Loews
OMAXAUTO.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,OMAX AUTOS LTD,Omax Autos Limited,finmb_9966366,Asia/Kolkata,IST,19800000.0,in_market,False,1.0499992,2.4305537,1608717598.0,44.25,45.0,42.05 - 45.0,42.05,14903.0,43.2,0.0,0.0,0.0,0.0,NSE,INR,43.8,33434.0,74438.0,25.6,1.3726542,18.65 - 66.7,-22.449997,-0.33658168,18.65,66.7,,1.0,0.023148147,1046058300000.0,2.0,-7.707,,21388200.0,118.919,41.95735,2.2926483,0.05464235,38.904316,5.345684,0.13740593,945308352.0,,0.37210202,15.0,15.0,False,POSTPOST,,,,,,,,,
OMAXE.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,OMAXE LTD,Omaxe Limited,finmb_23689071,Asia/Kolkata,IST,19800000.0,in_market,False,3.899994,4.996789,1608717592.0,81.95,82.5,77.1 - 82.5,77.1,60414.0,78.05,0.0,0.0,0.0,0.0,NSE,INR,77.5,95845.0,109381.0,22.449997,0.37731087,59.5 - 222.1,-140.15001,-0.6310221,59.5,222.1,,0.7,0.008968609,1186631100000.0,2.0,-14.091,7.0,182900992.0,81.973,74.50588,7.4441147,0.09991311,88.567986,-6.6179886,-0.07472213,15026351104.0,11.707143,0.9997194,15.0,15.0,False,POSTPOST,,,,,,,,,
OMMETALS.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,OM METALS INFRAPRO,Om Metals Infraprojects Limited,finmb_20701029,Asia/Kolkata,IST,19800000.0,in_market,False,0.6499996,3.3078861,1608717481.0,20.3,20.4,19.25 - 20.4,19.25,27456.0,19.65,0.0,0.0,0.0,0.0,NSE,INR,20.3,65345.0,69905.0,10.4,1.050505,9.9 - 27.4,-7.1000004,-0.2591241,9.9,27.4,,0.2,0.010178117,1308282300000.0,2.0,824.442,,96303800.0,26922.79,19.02353,1.2764702,0.06709955,16.622662,3.6773376,0.22122435,1954967040.0,,0.000754008,15.0,15.0,False,POSTPOST,,,0.024622712,,,,,,
ONEPOINT.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ONE POINT ONE SOLU,One Point One Solutions Limited,finmb_417484499,Asia/Kolkata,IST,19800000.0,in_market,False,0.19999886,1.2422289,1608717595.0,16.3,16.8,15.5 - 16.8,15.5,4807.0,16.1,0.0,0.0,,,NSE,INR,16.8,17153.0,8293.0,6.999999,0.75268805,9.3 - 24.5,-8.200001,-0.3346939,9.3,24.5,,0.333,0.020683229,1514259900000.0,2.0,-13.814,,25074800.0,18.901,14.3970585,1.9029408,0.13217567,12.585971,3.7140284,0.29509273,408719232.0,,0.86238825,15.0,15.0,False,POSTPOST,,,,,,,,,
ONGC.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,OIL & NATURAL GAS,Oil and Natural Gas Corporation Limited,finmb_882940,Asia/Kolkata,IST,19800000.0,in_market,False,0.25,0.27609056,1608717601.0,90.8,91.3,88.3 - 91.3,88.3,29211644.0,90.55,0.0,0.0,0.0,0.0,NSE,INR,90.5,28956173.0,48411820.0,40.800003,0.81600004,50.0 - 133.4,-42.59999,-0.3193403,50.0,133.4,1613212200.0,5.0,0.055218108,820467900000.0,2.0,2.577,22.94,12580299776.0,167.112,81.834724,8.965279,0.10955348,78.04291,12.757095,0.16346258,1142926868480.0,3.9581518,0.5433482,15.0,15.0,False,POSTPOST,1613212200.0,1613212200.0,35.23477,,,,,,
ONWARDTEC.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ONWARD TECHNO,Onward Technologies Limited,finmb_10525107,Asia/Kolkata,IST,19800000.0,in_market,False,15.599998,19.746834,1608717565.0,94.6,94.8,80.0 - 94.8,80.0,864025.0,79.0,0.0,0.0,0.0,0.0,NSE,INR,81.45,120632.0,802540.0,60.3,1.7580175,34.3 - 97.3,-2.7000046,-0.027749276,34.3,97.3,,1.5,0.01898734,1025495100000.0,2.0,1.614,,16214000.0,42.636,68.233826,26.366173,0.38640913,63.36079,31.239208,0.4930369,1538914944.0,,2.2187822,15.0,15.0,False,POSTPOST,,,58.612144,,,,,,
ORIENTABRA.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ORIENT ABRASIVES,Orient Abrasives Limited,finmb_20357630,Asia/Kolkata,IST,19800000.0,in_market,False,0.6499996,3.066036,1608717570.0,21.85,22.0,20.8 - 22.0,20.8,53637.0,21.2,0.0,0.0,0.0,0.0,NSE,INR,21.5,93480.0,157974.0,11.85,1.1850001,10.0 - 25.05,-3.1999989,-0.12774447,10.0,25.05,,0.15,0.007075472,1134618300000.0,2.0,1.117,,119639000.0,19.417,20.930555,0.91944504,0.043928362,19.113476,2.7365246,0.14317252,2626544896.0,,1.1253026,15.0,15.0,False,POSTPOST,,,19.561325,,,,,,
ORIENTBELL.NS,en-US,US,EQUITY,Delayed Quote,True,INR,NSI,ORIENT BELL LTD,Orient Bell Limited,finmb_20357623,Asia/Kolkata,IST,19800000.0,in_market,False,28.5,20.0,1608717574.0,171.0,171.0,143.25 - 171.0,143.25,153308.0,142.5,0.0,0.0,0.0,0.0,NSE,INR,145.05,47024.0,33735.0,122.25,2.5076923,48.75 - 171.0,0.0,0.0,48.75,171.0,,0.5,0.003508772,1171424700000.0,2.0,-2.35,,14339600.0,162.407,138.03383,32.96617,0.23882675,104.13453,66.86547,0.64210665,2458911488.0,,1.0529103,15.0,15.0,False,POSTPOST,,,,,,,,,
